Tract,Instrument,Order by Date,Image Path,Vol,Page,Inst. No.,File Date,Inst./Eff. Date,Grantor,Grantee,Land Desc.,Interest,Remarks
T08,Assignment 02038,2018-10-22,phase0/import-stress/T08/image-02038.pdf,338,39,P0-02038,2018-10-23,2018-10-22,Phase 0 Grantor 002,Phase 0 Grantee 005,"Section 8, Block 1, Raven Forest Survey, Walker County, Texas",1/24,Deterministic import stress row 02038
T09,Ratification 02039,2019-11-23,phase0/import-stress/T09/image-02039.pdf,339,40,P0-02039,2019-11-24,2019-11-23,Phase 0 Grantor 003,Phase 0 Grantee 006,"Section 9, Block 2, Raven Forest Survey, Walker County, Texas",1/25,Deterministic import stress row 02039
T10,Warranty Deed 02040,1980-12-24,phase0/import-stress/T10/image-02040.pdf,340,41,P0-02040,1980-12-25,1980-12-24,Phase 0 Grantor 004,Phase 0 Grantee 007,"Section 10, Block 3, Raven Forest Survey, Walker County, Texas",1/26,Deterministic import stress row 02040
T01,Mineral Deed 02041,1981-01-25,phase0/import-stress/T01/image-02041.pdf,341,42,P0-02041,1981-01-26,1981-01-25,Phase 0 Grantor 005,Phase 0 Grantee 008,"Section 1, Block 4, Raven Forest Survey, Walker County, Texas",1/27,Deterministic import stress row 02041
T02,Royalty Deed 02042,1982-02-26,phase0/import-stress/T02/image-02042.pdf,342,43,P0-02042,1982-02-27,1982-02-26,Phase 0 Grantor 006,Phase 0 Grantee 009,"Section 2, Block 5, Raven Forest Survey, Walker County, Texas",1/28,Deterministic import stress row 02042
T03,Oil and Gas Lease 02043,1983-03-27,phase0/import-stress/T03/image-02043.pdf,343,44,P0-02043,1983-03-28,1983-03-27,Phase 0 Grantor 007,Phase 0 Grantee 010,"Section 3, Block 6, Raven Forest Survey, Walker County, Texas",1/29,Deterministic import stress row 02043
T04,Assignment 02044,1984-04-28,phase0/import-stress/T04/image-02044.pdf,344,45,P0-02044,1984-04-01,1984-04-28,Phase 0 Grantor 008,Phase 0 Grantee 011,"Section 4, Block 7, Raven Forest Survey, Walker County, Texas",1/30,Deterministic import stress row 02044
T05,Ratification 02045,1985-05-01,phase0/import-stress/T05/image-02045.pdf,345,46,P0-02045,1985-05-02,1985-05-01,Phase 0 Grantor 009,Phase 0 Grantee 012,"Section 5, Block 1, Raven Forest Survey, Walker County, Texas",1/31,Deterministic import stress row 02045
T06,Warranty Deed 02046,1986-06-02,phase0/import-stress/T06/image-02046.pdf,346,47,P0-02046,1986-06-03,1986-06-02,Phase 0 Grantor 010,Phase 0 Grantee 013,"Section 6, Block 2, Raven Forest Survey, Walker County, Texas",1/32,Deterministic import stress row 02046
T07,Mineral Deed 02047,1987-07-03,phase0/import-stress/T07/image-02047.pdf,347,48,P0-02047,1987-07-04,1987-07-03,Phase 0 Grantor 011,Phase 0 Grantee 014,"Section 7, Block 3, Raven Forest Survey, Walker County, Texas",1/33,Deterministic import stress row 02047
T08,Royalty Deed 02048,1988-08-04,phase0/import-stress/T08/image-02048.pdf,348,49,P0-02048,1988-08-05,1988-08-04,Phase 0 Grantor 012,Phase 0 Grantee 015,"Section 8, Block 4, Raven Forest Survey, Walker County, Texas",1/34,Deterministic import stress row 02048
T09,Oil and Gas Lease 02049,1989-09-05,phase0/import-stress/T09/image-02049.pdf,349,50,P0-02049,1989-09-06,1989-09-05,Phase 0 Grantor 013,Phase 0 Grantee 016,"Section 9, Block 5, Raven Forest Survey, Walker County, Texas",1/35,Deterministic import stress row 02049
T10,Assignment 02050,1990-10-06,phase0/import-stress/T10/image-02050.pdf,350,51,P0-02050,1990-10-07,1990-10-06,Phase 0 Grantor 014,Phase 0 Grantee 017,"Section 10, Block 6, Raven Forest Survey, Walker County, Texas",1/36,Deterministic import stress row 02050
T01,Ratification 02051,1991-11-07,phase0/import-stress/T01/image-02051.pdf,351,52,P0-02051,1991-11-08,1991-11-07,Phase 0 Grantor 015,Phase 0 Grantee 018,"Section 1, Block 7, Raven Forest Survey, Walker County, Texas",1/37,Deterministic import stress row 02051
T02,Warranty Deed 02052,1992-12-08,phase0/import-stress/T02/image-02052.pdf,352,53,P0-02052,1992-12-09,1992-12-08,Phase 0 Grantor 016,Phase 0 Grantee 019,"Section 2, Block 1, Raven Forest Survey, Walker County, Texas",1/38,Deterministic import stress row 02052
T03,Mineral Deed 02053,1993-01-09,phase0/import-stress/T03/image-02053.pdf,353,54,P0-02053,1993-01-10,1993-01-09,Phase 0 Grantor 017,Phase 0 Grantee 020,"Section 3, Block 2, Raven Forest Survey, Walker County, Texas",1/39,Deterministic import stress row 02053
T04,Royalty Deed 02054,1994-02-10,phase0/import-stress/T04/image-02054.pdf,354,55,P0-02054,1994-02-11,1994-02-10,Phase 0 Grantor 018,Phase 0 Grantee 021,"Section 4, Block 3, Raven Forest Survey, Walker County, Texas",1/40,Deterministic import stress row 02054
T05,Oil and Gas Lease 02055,1995-03-11,phase0/import-stress/T05/image-02055.pdf,355,56,P0-02055,1995-03-12,1995-03-11,Phase 0 Grantor 019,Phase 0 Grantee 022,"Section 5, Block 4, Raven Forest Survey, Walker County, Texas",1/41,Deterministic import stress row 02055
T06,Assignment 02056,1996-04-12,phase0/import-stress/T06/image-02056.pdf,356,57,P0-02056,1996-04-13,1996-04-12,Phase 0 Grantor 020,Phase 0 Grantee 023,"Section 6, Block 5, Raven Forest Survey, Walker County, Texas",1/42,Deterministic import stress row 02056
T07,Ratification 02057,1997-05-13,phase0/import-stress/T07/image-02057.pdf,357,58,P0-02057,1997-05-14,1997-05-13,Phase 0 Grantor 021,Phase 0 Grantee 024,"Section 7, Block 6, Raven Forest Survey, Walker County, Texas",1/43,Deterministic import stress row 02057
T08,Warranty Deed 02058,1998-06-14,phase0/import-stress/T08/image-02058.pdf,358,59,P0-02058,1998-06-15,1998-06-14,Phase 0 Grantor 022,Phase 0 Grantee 025,"Section 8, Block 7, Raven Forest Survey, Walker County, Texas",1/44,Deterministic import stress row 02058
T09,Mineral Deed 02059,1999-07-15,phase0/import-stress/T09/image-02059.pdf,359,60,P0-02059,1999-07-16,1999-07-15,Phase 0 Grantor 023,Phase 0 Grantee 026,"Section 9, Block 1, Raven Forest Survey, Walker County, Texas",1/45,Deterministic import stress row 02059
T10,Royalty Deed 02060,2000-08-16,phase0/import-stress/T10/image-02060.pdf,360,61,P0-02060,2000-08-17,2000-08-16,Phase 0 Grantor 024,Phase 0 Grantee 027,"Section 10, Block 2, Raven Forest Survey, Walker County, Texas",1/46,Deterministic import stress row 02060
T01,Oil and Gas Lease 02061,2001-09-17,phase0/import-stress/T01/image-02061.pdf,361,62,P0-02061,2001-09-18,2001-09-17,Phase 0 Grantor 025,Phase 0 Grantee 028,"Section 1, Block 3, Raven Forest Survey, Walker County, Texas",1/47,Deterministic import stress row 02061
T02,Assignment 02062,2002-10-18,phase0/import-stress/T02/image-02062.pdf,362,63,P0-02062,2002-10-19,2002-10-18,Phase 0 Grantor 026,Phase 0 Grantee 029,"Section 2, Block 4, Raven Forest Survey, Walker County, Texas",1/48,Deterministic import stress row 02062
T03,Ratification 02063,2003-11-19,phase0/import-stress/T03/image-02063.pdf,363,64,P0-02063,2003-11-20,2003-11-19,Phase 0 Grantor 027,Phase 0 Grantee 030,"Section 3, Block 5, Raven Forest Survey, Walker County, Texas",1/49,Deterministic import stress row 02063
T04,Warranty Deed 02064,2004-12-20,phase0/import-stress/T04/image-02064.pdf,364,65,P0-02064,2004-12-21,2004-12-20,Phase 0 Grantor 028,Phase 0 Grantee 031,"Section 4, Block 6, Raven Forest Survey, Walker County, Texas",1/2,Deterministic import stress row 02064
T05,Mineral Deed 02065,2005-01-21,phase0/import-stress/T05/image-02065.pdf,365,66,P0-02065,2005-01-22,2005-01-21,Phase 0 Grantor 029,Phase 0 Grantee 032,"Section 5, Block 7, Raven Forest Survey, Walker County, Texas",1/3,Deterministic import stress row 02065
T06,Royalty Deed 02066,2006-02-22,phase0/import-stress/T06/image-02066.pdf,366,67,P0-02066,2006-02-23,2006-02-22,Phase 0 Grantor 030,Phase 0 Grantee 033,"Section 6, Block 1, Raven Forest Survey, Walker County, Texas",1/4,Deterministic import stress row 02066
T07,Oil and Gas Lease 02067,2007-03-23,phase0/import-stress/T07/image-02067.pdf,367,68,P0-02067,2007-03-24,2007-03-23,Phase 0 Grantor 031,Phase 0 Grantee 034,"Section 7, Block 2, Raven Forest Survey, Walker County, Texas",1/5,Deterministic import stress row 02067
T08,Assignment 02068,2008-04-24,phase0/import-stress/T08/image-02068.pdf,368,69,P0-02068,2008-04-25,2008-04-24,Phase 0 Grantor 032,Phase 0 Grantee 035,"Section 8, Block 3, Raven Forest Survey, Walker County, Texas",1/6,Deterministic import stress row 02068
T09,Ratification 02069,2009-05-25,phase0/import-stress/T09/image-02069.pdf,369,70,P0-02069,2009-05-26,2009-05-25,Phase 0 Grantor 033,Phase 0 Grantee 036,"Section 9, Block 4, Raven Forest Survey, Walker County, Texas",1/7,Deterministic import stress row 02069
T10,Warranty Deed 02070,2010-06-26,phase0/import-stress/T10/image-02070.pdf,370,71,P0-02070,2010-06-27,2010-06-26,Phase 0 Grantor 034,Phase 0 Grantee 037,"Section 10, Block 5, Raven Forest Survey, Walker County, Texas",1/8,Deterministic import stress row 02070
T01,Mineral Deed 02071,2011-07-27,phase0/import-stress/T01/image-02071.pdf,371,72,P0-02071,2011-07-28,2011-07-27,Phase 0 Grantor 035,Phase 0 Grantee 038,"Section 1, Block 6, Raven Forest Survey, Walker County, Texas",1/9,Deterministic import stress row 02071
T02,Royalty Deed 02072,2012-08-28,phase0/import-stress/T02/image-02072.pdf,372,73,P0-02072,2012-08-01,2012-08-28,Phase 0 Grantor 036,Phase 0 Grantee 039,"Section 2, Block 7, Raven Forest Survey, Walker County, Texas",1/10,Deterministic import stress row 02072
T03,Oil and Gas Lease 02073,2013-09-01,phase0/import-stress/T03/image-02073.pdf,373,74,P0-02073,2013-09-02,2013-09-01,Phase 0 Grantor 037,Phase 0 Grantee 040,"Section 3, Block 1, Raven Forest Survey, Walker County, Texas",1/11,Deterministic import stress row 02073
T04,Assignment 02074,2014-10-02,phase0/import-stress/T04/image-02074.pdf,374,75,P0-02074,2014-10-03,2014-10-02,Phase 0 Grantor 038,Phase 0 Grantee 041,"Section 4, Block 2, Raven Forest Survey, Walker County, Texas",1/12,Deterministic import stress row 02074
T05,Ratification 02075,2015-11-03,phase0/import-stress/T05/image-02075.pdf,375,76,P0-02075,2015-11-04,2015-11-03,Phase 0 Grantor 039,Phase 0 Grantee 042,"Section 5, Block 3, Raven Forest Survey, Walker County, Texas",1/13,Deterministic import stress row 02075
T06,Warranty Deed 02076,2016-12-04,phase0/import-stress/T06/image-02076.pdf,376,77,P0-02076,2016-12-05,2016-12-04,Phase 0 Grantor 040,Phase 0 Grantee 043,"Section 6, Block 4, Raven Forest Survey, Walker County, Texas",1/14,Deterministic import stress row 02076
T07,Mineral Deed 02077,2017-01-05,phase0/import-stress/T07/image-02077.pdf,377,78,P0-02077,2017-01-06,2017-01-05,Phase 0 Grantor 041,Phase 0 Grantee 044,"Section 7, Block 5, Raven Forest Survey, Walker County, Texas",1/15,Deterministic import stress row 02077
T08,Royalty Deed 02078,2018-02-06,phase0/import-stress/T08/image-02078.pdf,378,79,P0-02078,2018-02-07,2018-02-06,Phase 0 Grantor 042,Phase 0 Grantee 045,"Section 8, Block 6, Raven Forest Survey, Walker County, Texas",1/16,Deterministic import stress row 02078
T09,Oil and Gas Lease 02079,2019-03-07,phase0/import-stress/T09/image-02079.pdf,379,80,P0-02079,2019-03-08,2019-03-07,Phase 0 Grantor 043,Phase 0 Grantee 046,"Section 9, Block 7, Raven Forest Survey, Walker County, Texas",1/17,Deterministic import stress row 02079
T10,Assignment 02080,1980-04-08,phase0/import-stress/T10/image-02080.pdf,380,81,P0-02080,1980-04-09,1980-04-08,Phase 0 Grantor 044,Phase 0 Grantee 047,"Section 10, Block 1, Raven Forest Survey, Walker County, Texas",1/18,Deterministic import stress row 02080
T01,Ratification 02081,1981-05-09,phase0/import-stress/T01/image-02081.pdf,381,82,P0-02081,1981-05-10,1981-05-09,Phase 0 Grantor 045,Phase 0 Grantee 048,"Section 1, Block 2, Raven Forest Survey, Walker County, Texas",1/19,Deterministic import stress row 02081
T02,Warranty Deed 02082,1982-06-10,phase0/import-stress/T02/image-02082.pdf,382,83,P0-02082,1982-06-11,1982-06-10,Phase 0 Grantor 046,Phase 0 Grantee 049,"Section 2, Block 3, Raven Forest Survey, Walker County, Texas",1/20,Deterministic import stress row 02082
T03,Mineral Deed 02083,1983-07-11,phase0/import-stress/T03/image-02083.pdf,383,84,P0-02083,1983-07-12,1983-07-11,Phase 0 Grantor 047,Phase 0 Grantee 050,"Section 3, Block 4, Raven Forest Survey, Walker County, Texas",1/21,Deterministic import stress row 02083
T04,Royalty Deed 02084,1984-08-12,phase0/import-stress/T04/image-02084.pdf,384,85,P0-02084,1984-08-13,1984-08-12,Phase 0 Grantor 048,Phase 0 Grantee 051,"Section 4, Block 5, Raven Forest Survey, Walker County, Texas",1/22,Deterministic import stress row 02084
T05,Oil and Gas Lease 02085,1985-09-13,phase0/import-stress/T05/image-02085.pdf,385,86,P0-02085,1985-09-14,1985-09-13,Phase 0 Grantor 049,Phase 0 Grantee 052,"Section 5, Block 6, Raven Forest Survey, Walker County, Texas",1/23,Deterministic import stress row 02085
T06,Assignment 02086,1986-10-14,phase0/import-stress/T06/image-02086.pdf,386,87,P0-02086,1986-10-15,1986-10-14,Phase 0 Grantor 050,Phase 0 Grantee 053,"Section 6, Block 7, Raven Forest Survey, Walker County, Texas",1/24,Deterministic import stress row 02086
T07,Ratification 02087,1987-11-15,phase0/import-stress/T07/image-02087.pdf,387,88,P0-02087,1987-11-16,1987-11-15,Phase 0 Grantor 051,Phase 0 Grantee 054,"Section 7, Block 1, Raven Forest Survey, Walker County, Texas",1/25,Deterministic import stress row 02087
T08,Warranty Deed 02088,1988-12-16,phase0/import-stress/T08/image-02088.pdf,388,89,P0-02088,1988-12-17,1988-12-16,Phase 0 Grantor 052,Phase 0 Grantee 055,"Section 8, Block 2, Raven Forest Survey, Walker County, Texas",1/26,Deterministic import stress row 02088
T09,Mineral Deed 02089,1989-01-17,phase0/import-stress/T09/image-02089.pdf,389,90,P0-02089,1989-01-18,1989-01-17,Phase 0 Grantor 053,Phase 0 Grantee 056,"Section 9, Block 3, Raven Forest Survey, Walker County, Texas",1/27,Deterministic import stress row 02089
T10,Royalty Deed 02090,1990-02-18,phase0/import-stress/T10/image-02090.pdf,390,91,P0-02090,1990-02-19,1990-02-18,Phase 0 Grantor 054,Phase 0 Grantee 057,"Section 10, Block 4, Raven Forest Survey, Walker County, Texas",1/28,Deterministic import stress row 02090
T01,Oil and Gas Lease 02091,1991-03-19,phase0/import-stress/T01/image-02091.pdf,391,92,P0-02091,1991-03-20,1991-03-19,Phase 0 Grantor 055,Phase 0 Grantee 058,"Section 1, Block 5, Raven Forest Survey, Walker County, Texas",1/29,Deterministic import stress row 02091
T02,Assignment 02092,1992-04-20,phase0/import-stress/T02/image-02092.pdf,392,93,P0-02092,1992-04-21,1992-04-20,Phase 0 Grantor 056,Phase 0 Grantee 059,"Section 2, Block 6, Raven Forest Survey, Walker County, Texas",1/30,Deterministic import stress row 02092
T03,Ratification 02093,1993-05-21,phase0/import-stress/T03/image-02093.pdf,393,94,P0-02093,1993-05-22,1993-05-21,Phase 0 Grantor 057,Phase 0 Grantee 060,"Section 3, Block 7, Raven Forest Survey, Walker County, Texas",1/31,Deterministic import stress row 02093
T04,Warranty Deed 02094,1994-06-22,phase0/import-stress/T04/image-02094.pdf,394,95,P0-02094,1994-06-23,1994-06-22,Phase 0 Grantor 058,Phase 0 Grantee 061,"Section 4, Block 1, Raven Forest Survey, Walker County, Texas",1/32,Deterministic import stress row 02094
T05,Mineral Deed 02095,1995-07-23,phase0/import-stress/T05/image-02095.pdf,395,96,P0-02095,1995-07-24,1995-07-23,Phase 0 Grantor 059,Phase 0 Grantee 062,"Section 5, Block 2, Raven Forest Survey, Walker County, Texas",1/33,Deterministic import stress row 02095
T06,Royalty Deed 02096,1996-08-24,phase0/import-stress/T06/image-02096.pdf,396,97,P0-02096,1996-08-25,1996-08-24,Phase 0 Grantor 060,Phase 0 Grantee 063,"Section 6, Block 3, Raven Forest Survey, Walker County, Texas",1/34,Deterministic import stress row 02096
T07,Oil and Gas Lease 02097,1997-09-25,phase0/import-stress/T07/image-02097.pdf,397,98,P0-02097,1997-09-26,1997-09-25,Phase 0 Grantor 061,Phase 0 Grantee 064,"Section 7, Block 4, Raven Forest Survey, Walker County, Texas",1/35,Deterministic import stress row 02097
T08,Assignment 02098,1998-10-26,phase0/import-stress/T08/image-02098.pdf,398,99,P0-02098,1998-10-27,1998-10-26,Phase 0 Grantor 062,Phase 0 Grantee 065,"Section 8, Block 5, Raven Forest Survey, Walker County, Texas",1/36,Deterministic import stress row 02098
T09,Ratification 02099,1999-11-27,phase0/import-stress/T09/image-02099.pdf,399,100,P0-02099,1999-11-28,1999-11-27,Phase 0 Grantor 063,Phase 0 Grantee 066,"Section 9, Block 6, Raven Forest Survey, Walker County, Texas",1/37,Deterministic import stress row 02099
T10,Warranty Deed 02100,2000-12-28,phase0/import-stress/T10/image-02100.pdf,400,101,P0-02100,2000-12-01,2000-12-28,Phase 0 Grantor 064,Phase 0 Grantee 067,"Section 10, Block 7, Raven Forest Survey, Walker County, Texas",1/38,Deterministic import stress row 02100
T01,Mineral Deed 02101,2001-01-01,phase0/import-stress/T01/image-02101.pdf,401,102,P0-02101,2001-01-02,2001-01-01,Phase 0 Grantor 065,Phase 0 Grantee 068,"Section 1, Block 1, Raven Forest Survey, Walker County, Texas",1/39,Deterministic import stress row 02101
T02,Royalty Deed 02102,2002-02-02,phase0/import-stress/T02/image-02102.pdf,402,103,P0-02102,2002-02-03,2002-02-02,Phase 0 Grantor 066,Phase 0 Grantee 069,"Section 2, Block 2, Raven Forest Survey, Walker County, Texas",1/40,Deterministic import stress row 02102
T03,Oil and Gas Lease 02103,2003-03-03,phase0/import-stress/T03/image-02103.pdf,403,104,P0-02103,2003-03-04,2003-03-03,Phase 0 Grantor 067,Phase 0 Grantee 070,"Section 3, Block 3, Raven Forest Survey, Walker County, Texas",1/41,Deterministic import stress row 02103
T04,Assignment 02104,2004-04-04,phase0/import-stress/T04/image-02104.pdf,404,105,P0-02104,2004-04-05,2004-04-04,Phase 0 Grantor 068,Phase 0 Grantee 071,"Section 4, Block 4, Raven Forest Survey, Walker County, Texas",1/42,Deterministic import stress row 02104
T05,Ratification 02105,2005-05-05,phase0/import-stress/T05/image-02105.pdf,405,106,P0-02105,2005-05-06,2005-05-05,Phase 0 Grantor 069,Phase 0 Grantee 072,"Section 5, Block 5, Raven Forest Survey, Walker County, Texas",1/43,Deterministic import stress row 02105
T06,Warranty Deed 02106,2006-06-06,phase0/import-stress/T06/image-02106.pdf,406,107,P0-02106,2006-06-07,2006-06-06,Phase 0 Grantor 070,Phase 0 Grantee 073,"Section 6, Block 6, Raven Forest Survey, Walker County, Texas",1/44,Deterministic import stress row 02106
T07,Mineral Deed 02107,2007-07-07,phase0/import-stress/T07/image-02107.pdf,407,108,P0-02107,2007-07-08,2007-07-07,Phase 0 Grantor 071,Phase 0 Grantee 074,"Section 7, Block 7, Raven Forest Survey, Walker County, Texas",1/45,Deterministic import stress row 02107
T08,Royalty Deed 02108,2008-08-08,phase0/import-stress/T08/image-02108.pdf,408,109,P0-02108,2008-08-09,2008-08-08,Phase 0 Grantor 072,Phase 0 Grantee 075,"Section 8, Block 1, Raven Forest Survey, Walker County, Texas",1/46,Deterministic import stress row 02108
T09,Oil and Gas Lease 02109,2009-09-09,phase0/import-stress/T09/image-02109.pdf,409,110,P0-02109,2009-09-10,2009-09-09,Phase 0 Grantor 073,Phase 0 Grantee 076,"Section 9, Block 2, Raven Forest Survey, Walker County, Texas",1/47,Deterministic import stress row 02109
T10,Assignment 02110,2010-10-10,phase0/import-stress/T10/image-02110.pdf,410,111,P0-02110,2010-10-11,2010-10-10,Phase 0 Grantor 074,Phase 0 Grantee 077,"Section 10, Block 3, Raven Forest Survey, Walker County, Texas",1/48,Deterministic import stress row 02110
T01,Ratification 02111,2011-11-11,phase0/import-stress/T01/image-02111.pdf,411,112,P0-02111,2011-11-12,2011-11-11,Phase 0 Grantor 075,Phase 0 Grantee 078,"Section 1, Block 4, Raven Forest Survey, Walker County, Texas",1/49,Deterministic import stress row 02111
T02,Warranty Deed 02112,2012-12-12,phase0/import-stress/T02/image-02112.pdf,412,113,P0-02112,2012-12-13,2012-12-12,Phase 0 Grantor 076,Phase 0 Grantee 079,"Section 2, Block 5, Raven Forest Survey, Walker County, Texas",1/2,Deterministic import stress row 02112
T03,Mineral Deed 02113,2013-01-13,phase0/import-stress/T03/image-02113.pdf,413,114,P0-02113,2013-01-14,2013-01-13,Phase 0 Grantor 077,Phase 0 Grantee 080,"Section 3, Block 6, Raven Forest Survey, Walker County, Texas",1/3,Deterministic import stress row 02113
T04,Royalty Deed 02114,2014-02-14,phase0/import-stress/T04/image-02114.pdf,414,115,P0-02114,2014-02-15,2014-02-14,Phase 0 Grantor 078,Phase 0 Grantee 081,"Section 4, Block 7, Raven Forest Survey, Walker County, Texas",1/4,Deterministic import stress row 02114
T05,Oil and Gas Lease 02115,2015-03-15,phase0/import-stress/T05/image-02115.pdf,415,116,P0-02115,2015-03-16,2015-03-15,Phase 0 Grantor 079,Phase 0 Grantee 082,"Section 5, Block 1, Raven Forest Survey, Walker County, Texas",1/5,Deterministic import stress row 02115
T06,Assignment 02116,2016-04-16,phase0/import-stress/T06/image-02116.pdf,416,117,P0-02116,2016-04-17,2016-04-16,Phase 0 Grantor 080,Phase 0 Grantee 083,"Section 6, Block 2, Raven Forest Survey, Walker County, Texas",1/6,Deterministic import stress row 02116
T07,Ratification 02117,2017-05-17,phase0/import-stress/T07/image-02117.pdf,417,118,P0-02117,2017-05-18,2017-05-17,Phase 0 Grantor 081,Phase 0 Grantee 084,"Section 7, Block 3, Raven Forest Survey, Walker County, Texas",1/7,Deterministic import stress row 02117
T08,Warranty Deed 02118,2018-06-18,phase0/import-stress/T08/image-02118.pdf,418,119,P0-02118,2018-06-19,2018-06-18,Phase 0 Grantor 082,Phase 0 Grantee 085,"Section 8, Block 4, Raven Forest Survey, Walker County, Texas",1/8,Deterministic import stress row 02118
T09,Mineral Deed 02119,2019-07-19,phase0/import-stress/T09/image-02119.pdf,419,120,P0-02119,2019-07-20,2019-07-19,Phase 0 Grantor 083,Phase 0 Grantee 086,"Section 9, Block 5, Raven Forest Survey, Walker County, Texas",1/9,Deterministic import stress row 02119
T10,Royalty Deed 02120,1980-08-20,phase0/import-stress/T10/image-02120.pdf,420,121,P0-02120,1980-08-21,1980-08-20,Phase 0 Grantor 084,Phase 0 Grantee 087,"Section 10, Block 6, Raven Forest Survey, Walker County, Texas",1/10,Deterministic import stress row 02120
T01,Oil and Gas Lease 02121,1981-09-21,phase0/import-stress/T01/image-02121.pdf,421,122,P0-02121,1981-09-22,1981-09-21,Phase 0 Grantor 085,Phase 0 Grantee 088,"Section 1, Block 7, Raven Forest Survey, Walker County, Texas",1/11,Deterministic import stress row 02121
T02,Assignment 02122,1982-10-22,phase0/import-stress/T02/image-02122.pdf,422,123,P0-02122,1982-10-23,1982-10-22,Phase 0 Grantor 086,Phase 0 Grantee 089,"Section 2, Block 1, Raven Forest Survey, Walker County, Texas",1/12,Deterministic import stress row 02122
T03,Ratification 02123,1983-11-23,phase0/import-stress/T03/image-02123.pdf,423,124,P0-02123,1983-11-24,1983-11-23,Phase 0 Grantor 087,Phase 0 Grantee 090,"Section 3, Block 2, Raven Forest Survey, Walker County, Texas",1/13,Deterministic import stress row 02123
T04,Warranty Deed 02124,1984-12-24,phase0/import-stress/T04/image-02124.pdf,424,125,P0-02124,1984-12-25,1984-12-24,Phase 0 Grantor 088,Phase 0 Grantee 091,"Section 4, Block 3, Raven Forest Survey, Walker County, Texas",1/14,Deterministic import stress row 02124
T05,Mineral Deed 02125,1985-01-25,phase0/import-stress/T05/image-02125.pdf,425,126,P0-02125,1985-01-26,1985-01-25,Phase 0 Grantor 089,Phase 0 Grantee 092,"Section 5, Block 4, Raven Forest Survey, Walker County, Texas",1/15,Deterministic import stress row 02125
T06,Royalty Deed 02126,1986-02-26,phase0/import-stress/T06/image-02126.pdf,426,127,P0-02126,1986-02-27,1986-02-26,Phase 0 Grantor 090,Phase 0 Grantee 093,"Section 6, Block 5, Raven Forest Survey, Walker County, Texas",1/16,Deterministic import stress row 02126
T07,Oil and Gas Lease 02127,1987-03-27,phase0/import-stress/T07/image-02127.pdf,427,128,P0-02127,1987-03-28,1987-03-27,Phase 0 Grantor 091,Phase 0 Grantee 094,"Section 7, Block 6, Raven Forest Survey, Walker County, Texas",1/17,Deterministic import stress row 02127
T08,Assignment 02128,1988-04-28,phase0/import-stress/T08/image-02128.pdf,428,129,P0-02128,1988-04-01,1988-04-28,Phase 0 Grantor 092,Phase 0 Grantee 095,"Section 8, Block 7, Raven Forest Survey, Walker County, Texas",1/18,Deterministic import stress row 02128
T09,Ratification 02129,1989-05-01,phase0/import-stress/T09/image-02129.pdf,429,130,P0-02129,1989-05-02,1989-05-01,Phase 0 Grantor 093,Phase 0 Grantee 096,"Section 9, Block 1, Raven Forest Survey, Walker County, Texas",1/19,Deterministic import stress row 02129
T10,Warranty Deed 02130,1990-06-02,phase0/import-stress/T10/image-02130.pdf,430,131,P0-02130,1990-06-03,1990-06-02,Phase 0 Grantor 094,Phase 0 Grantee 097,"Section 10, Block 2, Raven Forest Survey, Walker County, Texas",1/20,Deterministic import stress row 02130
T01,Mineral Deed 02131,1991-07-03,phase0/import-stress/T01/image-02131.pdf,431,132,P0-02131,1991-07-04,1991-07-03,Phase 0 Grantor 095,Phase 0 Grantee 098,"Section 1, Block 3, Raven Forest Survey, Walker County, Texas",1/21,Deterministic import stress row 02131
T02,Royalty Deed 02132,1992-08-04,phase0/import-stress/T02/image-02132.pdf,432,133,P0-02132,1992-08-05,1992-08-04,Phase 0 Grantor 096,Phase 0 Grantee 099,"Section 2, Block 4, Raven Forest Survey, Walker County, Texas",1/22,Deterministic import stress row 02132
T03,Oil and Gas Lease 02133,1993-09-05,phase0/import-stress/T03/image-02133.pdf,433,134,P0-02133,1993-09-06,1993-09-05,Phase 0 Grantor 097,Phase 0 Grantee 100,"Section 3, Block 5, Raven Forest Survey, Walker County, Texas",1/23,Deterministic import stress row 02133
T04,Assignment 02134,1994-10-06,phase0/import-stress/T04/image-02134.pdf,434,135,P0-02134,1994-10-07,1994-10-06,Phase 0 Grantor 001,Phase 0 Grantee 101,"Section 4, Block 6, Raven Forest Survey, Walker County, Texas",1/24,Deterministic import stress row 02134
T05,Ratification 02135,1995-11-07,phase0/import-stress/T05/image-02135.pdf,435,136,P0-02135,1995-11-08,1995-11-07,Phase 0 Grantor 002,Phase 0 Grantee 102,"Section 5, Block 7, Raven Forest Survey, Walker County, Texas",1/25,Deterministic import stress row 02135
T06,Warranty Deed 02136,1996-12-08,phase0/import-stress/T06/image-02136.pdf,436,137,P0-02136,1996-12-09,1996-12-08,Phase 0 Grantor 003,Phase 0 Grantee 103,"Section 6, Block 1, Raven Forest Survey, Walker County, Texas",1/26,Deterministic import stress row 02136
T07,Mineral Deed 02137,1997-01-09,phase0/import-stress/T07/image-02137.pdf,437,138,P0-02137,1997-01-10,1997-01-09,Phase 0 Grantor 004,Phase 0 Grantee 104,"Section 7, Block 2, Raven Forest Survey, Walker County, Texas",1/27,Deterministic import stress row 02137
